epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.4035,1.94263,3.92753,2.16347,0.01408,1,0.06633,0.03866,1.85725,4.21974,3.06908,0,0,0
2,4.85129,2.12418,3.9559,2.61496,0.01429,1,0.07107,0.04654,1.81867,4.25407,2.99039,1.0025e-05,1.0025e-05,1.0025e-05
3,6.88535,1.75209,3.63043,2.11113,0.01471,1,0.09045,0.06576,1.79193,4.23633,2.99043,1.51e-05,1.51e-05,1.51e-05
4,8.76919,1.92769,3.62562,2.36395,0.01471,1,0.11056,0.08049,1.79174,4.1802,2.89704,1.5225e-05,1.5225e-05,1.5225e-05
5,10.6862,1.92483,3.55965,2.31555,0.01408,1,0.14214,0.0995,1.76742,4.07815,2.8986,1.04e-05,1.04e-05,1.04e-05
