epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.04926,0,98.0537,0,0,0,0,0,0,81.1596,0,4e-05,4e-05,4e-05
2,17.31,0,96.3184,0,0,0,0,0,0,81.305,0,8.02e-05,8.02e-05,8.02e-05
3,25.353,0,94.9015,0,0,0,0,0,0,81.3612,0,9.664e-05,9.664e-05,9.664e-05
4,33.6148,0,93.5905,0,0,0,0,0,0,81.4792,0,8.932e-05,8.932e-05,8.932e-05
5,41.7484,0,92.3538,0,0,0,0,0,0,81.6323,0,5.824e-05,5.824e-05,5.824e-05
